BBGCode, Price, AggregatedVolume
QQQ US ETF,318.91186013521303,994798
QQQ US ETF,1435.9624461869355,198689
QQQ US ETF,179.2747953589355,676499
QQQ US ETF,1510.5405502114013,176900
QQQ US ETF,813.698496135191,108956
QQQ US ETF,1577.0398666797255,394029
QQQ US ETF,942.0284566029376,134983
QQQ US ETF,1541.8502218811434,89247
QQQ US ETF,265.62001483394397,916380
QQQ US ETF,1509.2937333712914,313261
QQQ US ETF,1514.9052969653371,170706
QQQ US ETF,255.13007232134362,595675
QQQ US ETF,1407.4647327996597,185480
QQQ US ETF,1439.8946270312906,287660
QQQ US ETF,926.054432485565,829647
QQQ US ETF,1573.9725438201526,267763
QQQ US ETF,292.0116001135297,47897
QQQ US ETF,153.13613171122267,834836
QQQ US ETF,1409.660986047219,423023
QQQ US ETF,884.6401070344111,869038
QQQ US ETF,1518.8728793496202,54492
QQQ US ETF,1488.5848675298832,83155
QQQ US ETF,327.5697295284737,551794
QQQ US ETF,1559.3608221806735,153756
QQQ US ETF,273.78272737029994,329588
QQQ US ETF,1438.7164027319975,392530
QQQ US ETF,885.1430490221662,259079
QQQ US ETF,1454.4211111859681,117850
QQQ US ETF,1481.7050844044295,266387
QQQ US ETF,250.4626150793676,154812
QQQ US ETF,159.47700487345494,797939
QQQ US ETF,1602.1212902140862,141356
QQQ US ETF,327.0729902629774,539762
QQQ US ETF,1590.7135611207732,424180
QQQ US ETF,224.99273553189994,281456
QQQ US ETF,852.1564534719596,529454
QQQ US ETF,181.13972080210766,280498
QQQ US ETF,1573.0202311372764,220479
QQQ US ETF,1523.2714914649525,395067
QQQ US ETF,872.3903547539944,65273
QQQ US ETF,1499.7948041808952,50309
QQQ US ETF,815.9985676765879,106082
QQQ US ETF,951.0208523239723,618961
QQQ US ETF,243.32219317859582,840475
QQQ US ETF,1501.2196255969916,488249
QQQ US ETF,1497.9163747761127,279730
QQQ US ETF,1501.092433801969,475314
QQQ US ETF,1493.3400164354125,29962
QQQ US ETF,1577.628332019734,100385
QQQ US ETF,1571.3266814877295,366573
QQQ US ETF,271.27984116760433,147216
QQQ US ETF,1503.9412594236558,237085
QQQ US ETF,1368.192768724938,174482
QQQ US ETF,392.66862461071634,722424
QQQ US ETF,1480.6061405289627,501526
QQQ US ETF,1434.5442087603674,302575
QQQ US ETF,182.86748248910104,829325
QQQ US ETF,950.6564110974413,227310
QQQ US ETF,218.7931037934207,493406
QQQ US ETF,265.92811561680344,168127
QQQ US ETF,1525.6905639221193,195046
QQQ US ETF,225.33439203814783,128949
QQQ US ETF,941.4668953453889,535612
QQQ US ETF,1453.0233728603823,127438
QQQ US ETF,1424.1150299708145,246506
QQQ US ETF,271.781862222551,765176
QQQ US ETF,1384.9594623128892,513910
QQQ US ETF,1471.2916677458668,926577
QQQ US ETF,1477.7469339916886,346863
QQQ US ETF,1574.1767994381153,63558
QQQ US ETF,138.82701843619859,242347
QQQ US ETF,945.9147355886907,368416
QQQ US ETF,1465.4419959801974,127176
QQQ US ETF,262.42495227599386,149112
QQQ US ETF,1611.8314489392144,541943
QQQ US ETF,249.111253301384,357478
QQQ US ETF,915.339580270915,31009
QQQ US ETF,319.63876181288566,111707
QQQ US ETF,1551.4562973679647,238408
QQQ US ETF,1515.1823761358742,19837
QQQ US ETF,1491.1097529763083,449670
QQQ US ETF,1583.004025584301,403010
QQQ US ETF,1649.9730602809532,626788
QQQ US ETF,1659.1718890117465,65153
QQQ US ETF,265.1471467964119,418535
QQQ US ETF,1578.7181399302888,111289
QQQ US ETF,956.6633802875605,66442
QQQ US ETF,1448.8550416726769,142374
QQQ US ETF,939.6290137732101,754613
QQQ US ETF,166.23005080214898,202354
QQQ US ETF,902.0349629394155,471403
QQQ US ETF,1437.3840905033612,674474
QQQ US ETF,389.7389764218218,674519
QQQ US ETF,1537.7574215362877,93907
QQQ US ETF,1596.5601673395527,3274
QQQ US ETF,225.77867302761035,740100
QQQ US ETF,852.8928164978214,922705
QQQ US ETF,842.6438847163291,995645
QQQ US ETF,1543.0909891137906,27946
QQQ US ETF,1650.3602899652121,331128
QQQ US ETF,828.4926145410873,820633
QQQ US ETF,812.7673218026649,764578
QQQ US ETF,174.7947254942099,468229
QQQ US ETF,921.5738290510833,125604
QQQ US ETF,1415.4969927495317,218810
QQQ US ETF,898.4053580500025,90250
QQQ US ETF,298.23980505949027,413778
QQQ US ETF,373.04004869788207,212253
QQQ US ETF,252.94194355042515,648614
QQQ US ETF,1499.7741659200897,170324
QQQ US ETF,1439.1902628173527,347073
QQQ US ETF,812.3662368808685,692865
QQQ US ETF,1547.9951008886821,137252
QQQ US ETF,1565.039730760921,451749
QQQ US ETF,931.2280229685202,160946
QQQ US ETF,280.32823023217156,372945
QQQ US ETF,1442.537430155908,75727
QQQ US ETF,1444.8985531040194,599730
QQQ US ETF,140.30705733923904,353174
QQQ US ETF,191.80341059123214,393702
QQQ US ETF,1562.875056986078,202397
QQQ US ETF,1559.5986470299504,475811
QQQ US ETF,362.8800718124396,705815
QQQ US ETF,1401.6987975476918,136964
QQQ US ETF,262.4863670056188,613336
QQQ US ETF,240.62495281836985,111489
QQQ US ETF,288.9756681457131,899022
QQQ US ETF,1498.7041047128344,504025
QQQ US ETF,1366.084337111822,215947
QQQ US ETF,193.92875372319145,878131
QQQ US ETF,1526.2621357154608,546092
QQQ US ETF,858.6316139232032,350594
QQQ US ETF,249.654205445346,34673
QQQ US ETF,1572.9683467339362,406020
QQQ US ETF,277.29476014900723,158045
QQQ US ETF,221.7058422336432,761329
QQQ US ETF,285.2469254005011,5690
QQQ US ETF,251.05951899840986,425106
QQQ US ETF,1508.2327485869796,881695
QQQ US ETF,1481.27478254993,219646
QQQ US ETF,282.0061983415476,518617
QQQ US ETF,1596.1504161296405,9706
QQQ US ETF,1438.66283855435,10748
QQQ US ETF,263.9156208838692,102763
QQQ US ETF,247.1912061441324,898862
QQQ US ETF,933.1811066596166,656206
QQQ US ETF,186.7571078280651,20314
QQQ US ETF,1492.2760315012044,112695
QQQ US ETF,1573.0185165779153,179156
QQQ US ETF,945.8321370284987,925551
QQQ US ETF,1569.6598824764872,84819
QQQ US ETF,1500.593159287655,178841
QQQ US ETF,200.77299703049678,429439
QQQ US ETF,1587.4477836085996,159036
QQQ US ETF,1531.2912375381825,550015
QQQ US ETF,393.0696823228312,25079
QQQ US ETF,180.34176215643913,484177
QQQ US ETF,229.7388526231036,364951
QQQ US ETF,226.809395635332,630132
QQQ US ETF,1434.1226210831937,46092
QQQ US ETF,1543.8457409957705,63264
QQQ US ETF,1555.11634974231,529949
QQQ US ETF,1427.7561387684154,28174
QQQ US ETF,364.73356299299826,611127
QQQ US ETF,307.51730150085126,208297
QQQ US ETF,281.13366246610394,916984
QQQ US ETF,1539.7121701769283,353938
QQQ US ETF,1649.85033684179,230682
QQQ US ETF,1416.5369799042662,585635
QQQ US ETF,238.28164547091893,451527
QQQ US ETF,1595.9530130352923,320595
QQQ US ETF,1430.8755744237299,437133
QQQ US ETF,305.1188614072107,875551
QQQ US ETF,261.82495639696157,282535
QQQ US ETF,191.91147119221478,70916
QQQ US ETF,1441.0439836578282,244823
QQQ US ETF,868.6489091977678,152245
QQQ US ETF,1576.5123604989922,287070
QQQ US ETF,239.98866795250896,242662
QQQ US ETF,1576.1144887337862,29658
QQQ US ETF,1603.4172452305497,147786
QQQ US ETF,1508.8181996907176,110395
QQQ US ETF,1558.582902682925,146497
QQQ US ETF,262.98211538256527,4428
QQQ US ETF,223.55419658854018,773162
QQQ US ETF,169.6127222715394,105349
QQQ US ETF,1552.2790729574533,14586
QQQ US ETF,1452.1184496187534,719005
QQQ US ETF,833.398854457308,343093
QQQ US ETF,968.1041080818941,393322
QQQ US ETF,1596.302538243828,140429
QQQ US ETF,214.49324939886347,376272
QQQ US ETF,1561.304883574597,239110
QQQ US ETF,1628.5875580177608,222876
QQQ US ETF,319.80091835957614,882851
QQQ US ETF,291.78581239303224,200303
QQQ US ETF,1477.8797069252328,217788
QQQ US ETF,1575.113832992355,2525
QQQ US ETF,159.40323246161597,469225
QQQ US ETF,1548.2436227040237,57546
QQQ US ETF,1483.3930689569431,338079
QQQ US ETF,303.09039435700674,58636
QQQ US ETF,955.1869539523327,42802
QQQ US ETF,1407.5485326115406,197948
QQQ US ETF,231.97481952822017,267784
QQQ US ETF,939.7114833361214,837321
QQQ US ETF,236.1763247730511,59403
QQQ US ETF,953.2006097720325,498004
QQQ US ETF,1500.509484742159,101899
QQQ US ETF,228.91357420224753,488456
QQQ US ETF,1643.5350383119007,52964
QQQ US ETF,231.60625500117487,597014
QQQ US ETF,276.5945641281587,161220
QQQ US ETF,1434.5592741515559,437593
QQQ US ETF,1434.6136319888908,959024
QQQ US ETF,229.6654863462205,419920
QQQ US ETF,1408.986508394444,798977
QQQ US ETF,894.8644699889711,329914
QQQ US ETF,1516.0891763586897,204367
QQQ US ETF,155.08471952825633,887226
QQQ US ETF,1515.828115153355,714573
QQQ US ETF,1581.343323823348,23414
QQQ US ETF,948.338115352862,277082
QQQ US ETF,1421.647524638557,625864
QQQ US ETF,228.9425701812712,814624
QQQ US ETF,1514.3094375854105,649901
QQQ US ETF,1591.3564482068389,346925
QQQ US ETF,1560.140636721769,155706
QQQ US ETF,933.3694126887034,767913
QQQ US ETF,1591.2601494412224,84705
QQQ US ETF,1411.116290604314,200309
QQQ US ETF,959.7925060480708,789781
QQQ US ETF,1561.746527455202,94243
QQQ US ETF,949.5844294243728,393505
QQQ US ETF,1567.5113797872798,100620
QQQ US ETF,796.8286687068864,231204
QQQ US ETF,1483.9066183128605,95784
QQQ US ETF,282.9211251857117,1082
QQQ US ETF,1517.5800373984332,2852
QQQ US ETF,877.9586294399255,58006
QQQ US ETF,229.22590450146694,161629
QQQ US ETF,1490.0327903904824,159201
QQQ US ETF,1492.8718134657684,262649
QQQ US ETF,1483.688177350808,552633
QQQ US ETF,140.24658257542706,129984
QQQ US ETF,1488.853018024933,640001
QQQ US ETF,1561.632355782195,539315
QQQ US ETF,962.907305830151,43913
QQQ US ETF,1554.802714993293,351649
QQQ US ETF,369.3062956165977,347959
QQQ US ETF,1412.7565484684148,872142
QQQ US ETF,1571.6741305199096,339194
QQQ US ETF,351.6911981482865,316200
QQQ US ETF,1485.636457700991,634514
QQQ US ETF,1464.352273698558,473308
QQQ US ETF,289.62176092393497,680274
QQQ US ETF,1588.915096983182,31290
QQQ US ETF,1490.425397615176,457533
QQQ US ETF,377.4204656069238,893772
QQQ US ETF,1583.1485405437795,358209
QQQ US ETF,862.558785852565,334778
QQQ US ETF,173.8582257254708,709850
QQQ US ETF,219.51952349719716,394625
QQQ US ETF,216.02000439563722,421832
QQQ US ETF,956.9160547103402,552452
QQQ US ETF,172.58930282762276,189829
QQQ US ETF,1619.075316620215,32191
QQQ US ETF,1374.30011938759,956933
QQQ US ETF,208.3460741569351,756067
QQQ US ETF,1471.8628899906294,520633
QQQ US ETF,868.9631545165572,910266
QQQ US ETF,1487.9763312561936,332133
QQQ US ETF,1477.2915874292312,785192
QQQ US ETF,1502.9317479789433,34545
QQQ US ETF,941.4929129730036,608326
QQQ US ETF,282.0633850172279,175279
QQQ US ETF,1378.7088572954126,553853
QQQ US ETF,970.9507167276448,352462
QQQ US ETF,269.7867617013155,705140
QQQ US ETF,1503.7814288987174,240150
QQQ US ETF,945.8709136493902,758031
QQQ US ETF,395.5166555112434,493317
QQQ US ETF,1566.3241589781976,102629
QQQ US ETF,1490.3772017384156,174664
QQQ US ETF,359.399320172762,256833
QQQ US ETF,1521.3484576618164,216049
QQQ US ETF,239.47218472264368,12686
QQQ US ETF,849.9555054478963,791942
QQQ US ETF,1587.6607993305358,124066
QQQ US ETF,1479.3022851547162,137786
QQQ US ETF,1409.2541245313737,226562
QQQ US ETF,279.826733781747,873696
QQQ US ETF,898.9282401473927,259010
QQQ US ETF,1477.3248948513776,567597
QQQ US ETF,1582.2085433559223,188017
QQQ US ETF,302.19198900370526,366140
QQQ US ETF,1561.7377183667818,219583
QQQ US ETF,1582.8479102715216,5238
QQQ US ETF,1416.7221716718866,346533
QQQ US ETF,267.7896754089679,92745
QQQ US ETF,891.4373874803742,836077
QQQ US ETF,1590.1922396684404,105522
QQQ US ETF,1582.6238097770233,398165
QQQ US ETF,1559.6473053680288,117108
QQQ US ETF,1417.5521548678676,56520
QQQ US ETF,249.50922065874906,369098
QQQ US ETF,903.6647337424729,934281
QQQ US ETF,861.1667919121338,494551
QQQ US ETF,817.0066828189535,318907
QQQ US ETF,1513.180765764756,139202
QQQ US ETF,182.8852679221937,790582
QQQ US ETF,919.1925719910031,640550
QQQ US ETF,415.6274855675553,825141
QQQ US ETF,1426.2778930221396,709936
QQQ US ETF,948.1062496451419,174985
QQQ US ETF,1579.5304782909107,753400
QQQ US ETF,1394.0464081455048,254360
QQQ US ETF,139.45266277944557,295207
QQQ US ETF,1488.3411895727636,77777
QQQ US ETF,1407.277158080651,126674
QQQ US ETF,290.21088617916394,188305
QQQ US ETF,1527.3944757272513,335071
QQQ US ETF,1496.1072562592112,823759
QQQ US ETF,1503.7348147453247,546345
QQQ US ETF,1478.8304154445432,118347
QQQ US ETF,168.39135781546227,983695
QQQ US ETF,1598.0641733191703,411097
QQQ US ETF,252.04249341035109,90831
QQQ US ETF,1391.9411852208045,48078
